mode,receiver,ood_fault,predicted_label,count,total_for_fault_and_model,proportion,abstentions,abstention_rate
fedavg,shared,F4,F14,3,24,0.125,0,0.0
fedavg,shared,F4,F15,0,24,0.0,0,0.0
fedavg,shared,F5,Normal,24,24,1.0,0,0.0
fedavg,shared,F5,F1,0,24,0.0,0,0.0
fedavg,shared,F5,F2,0,24,0.0,0,0.0
fedavg,shared,F5,F3,0,24,0.0,0,0.0
fedavg,shared,F5,F8,0,24,0.0,0,0.0
fedavg,shared,F5,F10,0,24,0.0,0,0.0
fedavg,shared,F5,F13,0,24,0.0,0,0.0
fedavg,shared,F5,F14,0,24,0.0,0,0.0
fedavg,shared,F5,F15,0,24,0.0,0,0.0
centralized,shared,F4,Normal,17,24,0.7083333333333334,0,0.0
centralized,shared,F4,F1,0,24,0.0,0,0.0
centralized,shared,F4,F2,0,24,0.0,0,0.0
centralized,shared,F4,F3,2,24,0.08333333333333333,0,0.0
centralized,shared,F4,F8,0,24,0.0,0,0.0
centralized,shared,F4,F10,0,24,0.0,0,0.0
centralized,shared,F4,F13,0,24,0.0,0,0.0
centralized,shared,F4,F14,3,24,0.125,0,0.0
centralized,shared,F4,F15,2,24,0.08333333333333333,0,0.0
centralized,shared,F5,Normal,20,24,0.8333333333333334,0,0.0
centralized,shared,F5,F1,0,24,0.0,0,0.0
centralized,shared,F5,F2,0,24,0.0,0,0.0
centralized,shared,F5,F3,1,24,0.041666666666666664,0,0.0
centralized,shared,F5,F8,0,24,0.0,0,0.0
centralized,shared,F5,F10,0,24,0.0,0,0.0
centralized,shared,F5,F13,0,24,0.0,0,0.0
centralized,shared,F5,F14,0,24,0.0,0,0.0
centralized,shared,F5,F15,3,24,0.125,0,0.0
