fault,batch,interval,window_start_h,window_end_h,feature,feature_column,window_score_max_41,frozen_threshold,score_over_threshold,positive,n_active_variables,active_variables,dominant_variable
1,3,5-10h,5.0,10.0,trend,abs_slope_sigma_h,0.4348434391877706,0.7468621213669596,0.5822271966235073,False,0.0,,XMEAS-20
1,3,5-10h,5.0,10.0,residual,residual_std_ratio,1.1757780268022053,1.3681613543196571,0.8593854979823503,False,0.0,,XMEAS-37
1,3,5-10h,5.0,10.0,diff,diff_std_ratio,1.2110111465744073,1.4051245046201666,0.8618532682281902,False,0.0,,XMEAS-41
1,3,5-10h,5.0,10.0,any-primary,any-primary,,,,False,,,
1,3,10-15h,10.0,15.0,level,abs_shift_sigma,76.01361069647383,1.9695333234149084,38.59473195643949,True,28.0,XMEAS-1;XMEAS-4;XMEAS-5;XMEAS-6;XMEAS-7;XMEAS-10;XMEAS-11;XMEAS-13;XMEAS-15;XMEAS-16;XMEAS-18;XMEAS-20;XMEAS-21;XMEAS-22;XMEAS-23;XMEAS-24;XMEAS-25;XMEAS-26;XMEAS-27;XMEAS-28;XMEAS-29;XMEAS-30;XMEAS-31;XMEAS-33;XMEAS-34;XMEAS-35;XMEAS-36;XMEAS-38,XMEAS-1
1,3,10-15h,10.0,15.0,trend,abs_slope_sigma_h,31.06339047477107,0.7468621213669596,41.59186760993671,True,28.0,XMEAS-1;XMEAS-3;XMEAS-4;XMEAS-7;XMEAS-10;XMEAS-11;XMEAS-12;XMEAS-13;XMEAS-14;XMEAS-15;XMEAS-16;XMEAS-18;XMEAS-20;XMEAS-21;XMEAS-22;XMEAS-23;XMEAS-24;XMEAS-25;XMEAS-27;XMEAS-28;XMEAS-29;XMEAS-30;XMEAS-31;XMEAS-33;XMEAS-34;XMEAS-35;XMEAS-36;XMEAS-38,XMEAS-1
1,3,10-15h,10.0,15.0,residual,residual_std_ratio,13.711326090786295,1.3681613543196571,10.021717137014514,True,28.0,XMEAS-1;XMEAS-4;XMEAS-5;XMEAS-6;XMEAS-7;XMEAS-10;XMEAS-11;XMEAS-12;XMEAS-13;XMEAS-14;XMEAS-15;XMEAS-16;XMEAS-18;XMEAS-20;XMEAS-21;XMEAS-22;XMEAS-23;XMEAS-24;XMEAS-25;XMEAS-28;XMEAS-29;XMEAS-30;XMEAS-31;XMEAS-33;XMEAS-34;XMEAS-35;XMEAS-36;XMEAS-38,XMEAS-20
1,3,10-15h,10.0,15.0,diff,diff_std_ratio,1.8345589105066598,1.4051245046201666,1.305620181325197,True,1.0,XMEAS-10,XMEAS-10
1,3,10-15h,10.0,15.0,any-primary,any-primary,,,,True,,,
1,4,0-5h,0.0,5.0,level,abs_shift_sigma,0.5397321610423965,1.9695333234149084,0.2740406342079924,False,0.0,,XMEAS-1
1,4,0-5h,0.0,5.0,trend,abs_slope_sigma_h,0.2776396849496657,0.7468621213669596,0.37174155310154167,False,0.0,,XMEAS-38
1,4,0-5h,0.0,5.0,residual,residual_std_ratio,1.2234500399672097,1.3681613543196571,0.8942293510224109,False,0.0,,XMEAS-40
1,4,0-5h,0.0,5.0,diff,diff_std_ratio,1.257754318136113,1.4051245046201666,0.8951194815836688,False,0.0,,XMEAS-40
1,4,0-5h,0.0,5.0,any-primary,any-primary,,,,False,,,
1,4,5-10h,5.0,10.0,level,abs_shift_sigma,0.6259109243045619,1.9695333234149084,0.31779656473103773,False,0.0,,XMEAS-30
1,4,5-10h,5.0,10.0,trend,abs_slope_sigma_h,0.3569705143749485,0.7468621213669596,0.4779603947802252,False,0.0,,XMEAS-38
1,4,5-10h,5.0,10.0,residual,residual_std_ratio,1.1951534445542538,1.3681613543196571,0.873547144699585,False,0.0,,XMEAS-26
