,result,table,_time,device,plant,ERROR1
,_result,76,2026-09-04T04:30:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T04:45:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T05:00:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T05:15:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T05:30:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T05:45:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T06:00:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T06:15:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T06:30:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T06:45:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T07:00:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T07:15:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T07:30:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T07:45:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T08:00:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T08:15:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T08:30:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T08:45:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T09:00:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T09:15:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T09:30:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T09:45:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T10:00:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T10:15:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T10:30:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T10:45:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T11:00:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T11:15:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T11:30:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T11:45:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T12:00:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T12:15:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T12:30:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T12:45:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T13:00:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T13:15:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T13:30:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T13:45:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T14:00:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T14:15:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T14:30:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T14:45:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T15:00:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T15:15:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T15:30:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T15:45:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T16:00:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T16:15:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T16:30:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T16:45:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T17:00:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T17:15:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T17:30:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T17:45:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T18:00:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T18:15:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T18:30:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T18:45:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T19:00:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T19:15:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T19:30:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T19:45:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T20:00:00Z,369054,Bisceglie,0
,_result,76,2026-09-04T20:15:00Z,369054,Bisceglie,0
