scenario_index,status,delta3,discordance,a,b,pattern,rho,procedure,rejections,phat,mcse,ci_low,ci_high
8,COMPLETE,-0.125,0.15,0.0,0.0,time_interaction,0.2,hoeffding_h12_0.025,0,0.0,0.0,0.0,3.68881141579242e-05
8,COMPLETE,-0.125,0.15,0.0,0.0,time_interaction,0.2,hoeffding_h12_0.05,0,0.0,0.0,0.0,3.68881141579242e-05
8,COMPLETE,-0.125,0.15,0.0,0.0,time_interaction,0.2,hoeffding_h3_0.025,2,2e-05,1.4141994201667599e-05,2.4221019627031544e-06,7.22449893650479e-05
8,COMPLETE,-0.125,0.15,0.0,0.0,time_interaction,0.2,hoeffding_h3_0.05,5,5e-05,2.2360120751015635e-05,1.6235056817057864e-05,0.00011667943042027703
8,COMPLETE,-0.125,0.15,0.0,0.0,time_interaction,0.2,tango_0.025,6044,0.06044,0.0007535715387406826,0.05897079141419774,0.061934766753269734
8,COMPLETE,-0.125,0.15,0.0,0.0,time_interaction,0.2,tango_0.05,10714,0.10714,0.0009780645193441994,0.10522944175445723,0.10907337767237868
9,COMPLETE,-0.125,0.15,0.0,0.0,time_interaction,0.4,hoeffding_h12_0.025,0,0.0,0.0,0.0,3.68881141579242e-05
9,COMPLETE,-0.125,0.15,0.0,0.0,time_interaction,0.4,hoeffding_h12_0.05,0,0.0,0.0,0.0,3.68881141579242e-05
9,COMPLETE,-0.125,0.15,0.0,0.0,time_interaction,0.4,hoeffding_h3_0.025,23,0.00023,4.795279970971455e-05,0.00014580567999884314,0.0003450930651544078
9,COMPLETE,-0.125,0.15,0.0,0.0,time_interaction,0.4,hoeffding_h3_0.05,34,0.00034,5.829960548751595e-05,0.00023547101538208486,0.0004750838219411014
9,COMPLETE,-0.125,0.15,0.0,0.0,time_interaction,0.4,tango_0.025,12525,0.12525,0.0010467207722215128,0.12320435418709381,0.12731740840143066
9,COMPLETE,-0.125,0.15,0.0,0.0,time_interaction,0.4,tango_0.05,19734,0.19734,0.001258558399121789,0.19487707492860518,0.19982049171369842
10,COMPLETE,-0.125,0.15,0.0,0.0,interaction_fault,0.0,hoeffding_h12_0.025,0,0.0,0.0,0.0,3.68881141579242e-05
10,COMPLETE,-0.125,0.15,0.0,0.0,interaction_fault,0.0,hoeffding_h12_0.05,0,0.0,0.0,0.0,3.68881141579242e-05
10,COMPLETE,-0.125,0.15,0.0,0.0,interaction_fault,0.0,hoeffding_h3_0.025,0,0.0,0.0,0.0,3.68881141579242e-05
10,COMPLETE,-0.125,0.15,0.0,0.0,interaction_fault,0.0,hoeffding_h3_0.05,0,0.0,0.0,0.0,3.68881141579242e-05
10,COMPLETE,-0.125,0.15,0.0,0.0,interaction_fault,0.0,tango_0.025,2032,0.02032,0.0004461737060831801,0.01945444896388141,0.021213527490276645
10,COMPLETE,-0.125,0.15,0.0,0.0,interaction_fault,0.0,tango_0.05,4084,0.04084,0.0006258761411014164,0.0396216384829005,0.04208508358781447
11,COMPLETE,-0.125,0.15,0.0,0.0,interaction_fault,0.05,hoeffding_h12_0.025,0,0.0,0.0,0.0,3.68881141579242e-05
11,COMPLETE,-0.125,0.15,0.0,0.0,interaction_fault,0.05,hoeffding_h12_0.05,0,0.0,0.0,0.0,3.68881141579242e-05
11,COMPLETE,-0.125,0.15,0.0,0.0,interaction_fault,0.05,hoeffding_h3_0.025,0,0.0,0.0,0.0,3.68881141579242e-05
11,COMPLETE,-0.125,0.15,0.0,0.0,interaction_fault,0.05,hoeffding_h3_0.05,0,0.0,0.0,0.0,3.68881141579242e-05
